Indicator_code,Indicator_name,Thematic_group,Nonzero_munis,Nonzero_pct,Rarity_score_ri,Sqrt_ri,Normalised within-group weight (w_i)
n_Tur_inf_p,Tourist information points,Tourism and Services,193,91.0,0.089622641509434,0.29937040854004593,0.03838094343729281
n_Apartme_OS,Tourist apartments,Tourism and Services,195,92.0,0.08018867924528306,0.28317605697742715,0.036304737928673336
n_Kiosk,Kiosks,Trade and Business,28,13.2,0.8679245283018868,0.9316246713681894,0.19886706620372158
n_Marketplac,Marketplaces,Trade and Business,37,17.5,0.8254716981132075,0.9085547303895388,0.19394249558970003
n_Shp_mall,Shopping malls,Trade and Business,50,23.6,0.7641509433962264,0.8741572761215377,0.1865999240312332
n_Thematic_S,Thematic shops,Trade and Business,83,39.2,0.6084905660377358,0.7800580529920422,0.16651325499924013
n_Supermarke,Supermarkets,Trade and Business,100,47.2,0.5283018867924528,0.726843784311631,0.15515399647176
n_Ind_B_Zone,Industrial and business zones,Trade and Business,184,86.8,0.13207547169811318,0.3634218921558155,0.07757699823588
n_Companies,Registered companies,Trade and Business,211,99.5,0.01,0.1,0.021346264468464993
n_Seaport,Seaports,Traffic and Communications,1,0.5,0.9952830188679245,0.9976387216161592,0.09738597630458694
n_Airports,Airports,Traffic and Communications,29,13.7,0.8632075471698113,0.929089633549859,0.09069445589596528
n_Parking_V,Vending parking,Traffic and Communications,33,15.6,0.8443396226415094,0.918879547406247,0.08969778326718157
n_Car_Rent,Car rental services,Traffic and Communications,38,17.9,0.8207547169811321,0.9059551407112452,0.08843614823149322
n_Gas_stat,Petrol stations,Traffic and Communications,39,18.4,0.8160377358490566,0.9033480701529486,0.08818165519096312
n_Bike_Renta,Bicycle rental locations,Traffic and Communications,43,20.3,0.7971698113207547,0.8928436656664787,0.08715625224273357
n_Car_Wash,Car wash services,Traffic and Communications,48,22.6,0.7735849056603774,0.8795367562872954,0.08585727864296284
n_Driving_sc,Driving schools,Traffic and Communications,61,28.8,0.7122641509433962,0.843957434319644,0.08238415061475053
n_Roads_L,Highway road length (km),Traffic and Communications,65,30.7,0.6933962264150944,0.8327041650040513,0.08128564612091725
n_Railway_St,Railway stations,Traffic and Communications,97,45.8,0.5424528301886793,0.7365139714823333,0.07189589840556762
n_Railway_L,Railway length (km),Traffic and Communications,114,53.8,0.46226415094339623,0.6799001036500849,0.06636945213623001
n_Parking,Parking facilities,Traffic and Communications,168,79.2,0.2075471698113207,0.4555734516094202,0.04447147489580286
n_Bus_stops,Bus stops,Traffic and Communications,206,97.2,0.028301886792452824,0.16823164622761327,0.01642218045292302
n_Post_offic,Post offices,Traffic and Communications,210,99.1,0.01,0.1,0.00976164759792234
