SIFRA,NAZIV,commuting_self_flow,commuting_dominant_external_dest,commuting_dominant_external_flow,commuting_is_centre,commuting_ultimate_centre,huff_majority_centre_name,huff_majority_centre,agreement,pattern
175,Prevalje,662.0,103,817.0,False,103,Ravne na Koroškem,103,1,Agree
181,Sveta Ana,137.0,70,176.0,False,70,Maribor,70,1,Agree
192,Žirovnica,367.0,41,383.0,False,41,Žirovnica,192,0,"Pattern 1: Huff self, Commuting external"
190,Žalec,3674.0,11,1716.0,True,190,Žalec,190,1,Agree
202,Središče ob Dravi,158.0,87,139.0,True,202,Središče ob Dravi,202,1,Agree
204,Sveta Trojica v Slovenskih goricah,96.0,70,261.0,False,70,Lenart,58,0,"Pattern 3: both external, different centre"
205,Sveti Tomaž,80.0,96,139.0,False,96,Ptuj,96,1,Agree
200,Poljčane,448.0,113,321.0,True,200,Poljčane,200,1,Agree
73,Metlika,1533.0,85,583.0,True,73,Metlika,73,1,Agree
155,Dobrna,186.0,133,224.0,False,133,Velenje,133,1,Agree
63,Ljutomer,2010.0,80,385.0,True,63,Ljutomer,63,1,Agree
117,Šenčur,889.0,52,1044.0,False,52,Kranj,52,1,Agree
136,Vipava,781.0,1,688.0,True,136,Ajdovščina,1,0,"Pattern 2: Commuting self, Huff external"
118,Šentilj,780.0,70,1030.0,False,70,Maribor,70,1,Agree
112,Slovenj Gradec,4252.0,61,523.0,True,112,Slovenj Gradec,112,1,Agree
177,Ribnica na Pohorju,58.0,101,81.0,False,101,Maribor,70,0,"Pattern 3: both external, different centre"
170,Mirna Peč,167.0,85,624.0,False,85,Novo mesto,85,1,Agree
96,Ptuj,5039.0,70,1605.0,True,96,Ptuj,96,1,Agree
152,Cankova,125.0,80,180.0,False,80,Murska Sobota,80,1,Agree
193,Žužemberk,617.0,85,489.0,True,193,Žužemberk,193,1,Agree
196,Cirkulane,159.0,96,335.0,False,96,Ptuj,96,1,Agree
143,Zavrč,91.0,96,209.0,False,96,Ptuj,96,1,Agree
135,Videm,334.0,96,819.0,False,96,Ptuj,96,1,Agree
141,Vuzenica,235.0,81,164.0,True,141,Muta,81,0,"Pattern 2: Commuting self, Huff external"
130,Trebnje,2246.0,61,1511.0,True,130,Trebnje,130,1,Agree
103,Ravne na Koroškem,2164.0,112,645.0,True,103,Ravne na Koroškem,103,1,Agree
69,Majšperk,279.0,96,289.0,False,96,Ptuj,96,1,Agree
85,Novo mesto,11265.0,61,2262.0,True,85,Novo mesto,85,1,Agree
92,Podčetrtek,508.0,11,196.0,True,92,Podčetrtek,92,1,Agree
122,Škofja Loka,4449.0,61,2443.0,True,122,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
186,Trzin,452.0,61,911.0,False,61,Trzin,186,0,"Pattern 1: Huff self, Commuting external"
62,Ljubno,387.0,83,170.0,True,62,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
153,Cerkvenjak,160.0,70,192.0,False,70,Cerkvenjak,153,0,"Pattern 1: Huff self, Commuting external"
88,Osilnica,15.0,48,26.0,False,48,Ljubljana,61,0,"Pattern 3: both external, different centre"
76,Mislinja,364.0,133,482.0,False,133,Mislinja,76,0,"Pattern 1: Huff self, Commuting external"
108,Ruše,824.0,70,1407.0,False,70,Ruše,108,0,"Pattern 1: Huff self, Commuting external"
137,Vitanje,179.0,144,190.0,False,144,Vitanje,137,0,"Pattern 1: Huff self, Commuting external"
203,Straža,370.0,85,830.0,False,85,Novo mesto,85,1,Agree
206,Šmarješke Toplice,357.0,85,722.0,False,85,Novo mesto,85,1,Agree
207,Gorje,258.0,102,177.0,True,207,Gorje,207,1,Agree
210,Sveti Jurij v Slovenskih goricah,122.0,70,269.0,False,70,Maribor,70,1,Agree
213,Ankaran,252.0,50,578.0,False,50,Ankaran,213,0,"Pattern 1: Huff self, Commuting external"
80,Murska Sobota,4052.0,61,650.0,True,80,Murska Sobota,80,1,Agree
81,Muta,456.0,101,178.0,True,81,Muta,81,1,Agree
86,Odranci,189.0,80,156.0,True,86,Odranci,86,1,Agree
87,Ormož,1580.0,96,687.0,True,87,Ormož,87,1,Agree
90,Piran,3440.0,50,1620.0,True,90,Piran,90,1,Agree
91,Pivka,887.0,94,619.0,True,91,Pivka,91,1,Agree
93,Podvelka,149.0,101,180.0,False,101,Maribor,70,0,"Pattern 3: both external, different centre"
94,Postojna,3333.0,61,2143.0,True,94,Postojna,94,1,Agree
97,Puconci,414.0,80,810.0,False,80,Murska Sobota,80,1,Agree
98,Rače-Fram,647.0,70,1399.0,False,70,Maribor,70,1,Agree
100,Radenci,488.0,29,420.0,True,100,Radenci,100,1,Agree
