Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,ahp_dominant_muni,ahp_dominant_Pij,ahp_dominant_dist_m,agreement
10119375,Gorenje Kamenje,Novo mesto,0.35405510982141175,Novo mesto,0.5079601286557971,7871.723815500325,1
10119383,Gorenje Karteljevo,Novo mesto,0.31361520749888255,Novo mesto,0.4358481360419999,6384.5203766436525,1
10119391,Gorenje Kronovo,Novo mesto,0.3289606119747848,Novo mesto,0.4778196965277637,5124.273002212271,1
10119405,Gorenje Lakovnice,Novo mesto,0.4209183912092474,Novo mesto,0.6563912325865218,7622.630927598047,1
10119413,Gorenje Mokro Polje,Novo mesto,0.20273894258267916,Novo mesto,0.3465174970460694,5396.074212718741,1
10119421,Gorenje Mraševo,Novo mesto,0.32884913889590695,Novo mesto,0.4686197013352742,5794.161350743984,1
10119430,Gorenje Polje,Dolenjske Toplice,0.3428744296762617,Dolenjske Toplice,0.3431820685795326,2660.3572253114385,1
10119448,Gorenje Sušice,Novo mesto,0.20371703529547297,Novo mesto,0.3071354344395769,4652.871995738548,1
10119456,Gorenje Vrhpolje,Novo mesto,0.19180819897900714,Novo mesto,0.2356122238272322,3450.4798145182112,1
10119464,Gorenji Globodol,Novo mesto,0.19448918309037366,Novo mesto,0.2213822823053671,5221.986082146997,1
10119472,Gorenji Maharovec,Novo mesto,0.17525589572804026,Novo mesto,0.2418388583385014,2836.606829498924,1
10119499,Gorenji Podboršt,Mirna Peč,0.4869088388612511,Mirna Peč,0.6381359305777449,1277.556251804374,1
10119502,Gorenji Suhadol,Novo mesto,0.19783100231652082,Novo mesto,0.390829819548437,9232.675345624792,1
10119529,Goriška Gora,Novo mesto,0.11792627331582885,Novo mesto,0.1424775293865808,4274.301222007295,1
10119537,Goriška vas,Novo mesto,0.2784881495030334,Novo mesto,0.3011054450158039,2901.730210486293,1
10119545,Goriška vas pri Škocjanu,Novo mesto,0.1643860850352053,Škocjan,0.2777878743789639,2414.7801136140743,0
10119553,Gornja Težka Voda,Novo mesto,0.43735344616661215,Novo mesto,0.678275894585292,7277.182486507553,1
10119561,Gornji Ajdovec,Novo mesto,0.19210915102252366,Novo mesto,0.2192302187445312,8716.72486476272,1
10119570,Gornji Kot,Novo mesto,0.16304246569569802,Žužemberk,0.1701948251599057,6138.700273830526,0
10119588,Gornji Križ,Žužemberk,0.17205571365588118,Žužemberk,0.1962019065823101,5619.744872232344,1
10119596,Gradenc,Žužemberk,0.19542844711396948,Žužemberk,0.2500461561069285,5004.386337121485,1
10119600,Gradenje,Novo mesto,0.21014424876886154,Novo mesto,0.3080649731404444,2903.306913285283,1
10119618,Grč Vrh,Novo mesto,0.19478301601230272,Novo mesto,0.2728998095112154,4307.553094483071,1
10119626,Grič pri Klevevžu,Novo mesto,0.18628994082033515,Novo mesto,0.1943471338213844,4020.7432450664073,1
10119634,Grmovlje,Novo mesto,0.18434067523177716,Škocjan,0.2806709027958081,2333.241001129039,0
10119642,Groblje pri Prekopi,Novo mesto,0.16206639451149696,Šentjernej,0.2089051853683453,3036.392060382298,0
10119669,Gruča,Novo mesto,0.15476529325237137,Novo mesto,0.1544850721934401,3893.1824723251184,1
10119677,Gumberk,Novo mesto,0.3934109321849444,Novo mesto,0.5865234712463612,8126.068023022392,1
10119685,Herinja vas,Novo mesto,0.4058265646094374,Novo mesto,0.5785879946209582,6378.406140897998,1
10119693,Hinje,Novo mesto,0.054994502231849374,Ljubljana,0.1846027580973784,12731.680129177888,0
10119707,Hmeljčič,Novo mesto,0.20700171400155362,Novo mesto,0.3133670653942385,4640.554696525507,1
10119715,Hrastje,Novo mesto,0.20162749636137292,Novo mesto,0.3430223681652506,4587.825754250114,1
10119723,Hrastje pri Mirni Peči,Novo mesto,0.2015960537734313,Novo mesto,0.2176750458543726,3247.88735051344,1
10119731,Hrastulje,Škocjan,0.7053414376481885,Škocjan,0.8321673151857946,673.8502627952398,1
10119740,Hrib,Novo mesto,0.18460935686829236,Novo mesto,0.280664181411567,4930.558324347194,1
10119758,Hrib pri Hinjah,Novo mesto,0.06497586754242762,Ljubljana,0.1819005815728783,12490.197769999262,0
10119766,Hrib pri Orehku,Novo mesto,0.35866608863677946,Novo mesto,0.6092677010475679,8520.064449288706,1
10119774,Hrušica,Novo mesto,0.36112412881834693,Novo mesto,0.6114019880100174,8388.914988439741,1
10119782,Hrvaški Brod,Novo mesto,0.16003345786172832,Novo mesto,0.172521728508816,6554.55042579954,1
10119804,Hudenje,Novo mesto,0.1854557011420689,Novo mesto,0.181682326515682,3779.892035390891,1
10119812,Hudo,Novo mesto,0.4714904339855455,Novo mesto,0.6444313632113474,5998.994497736884,1
10119839,Iglenik,Novo mesto,0.20267394019037088,Novo mesto,0.4218440780914692,12986.0695302337,1
10119847,Imenje,Novo mesto,0.16044526115355026,Šentjernej,0.2805166877834723,2646.5997401642567,0
10119855,Jablan,Novo mesto,0.3288596808279399,Novo mesto,0.3515110555120227,2821.632392259972,1
10119863,Jama,Novo mesto,0.4447219745509125,Novo mesto,0.6765331288999606,7212.089142387573,1
10119871,Jama pri Dvoru,Žužemberk,0.21847055450723168,Žužemberk,0.2767816260808749,4508.270668855055,1
10119880,Javorovica,Novo mesto,0.10682627260397032,Novo mesto,0.1655019038365145,6209.95686851759,1
10119898,Jelendol,Novo mesto,0.1093302540238377,Sevnica,0.1279249393214724,4978.361386826903,0
10119901,Jelše,Novo mesto,0.1888706564858525,Mirna Peč,0.2164837025951831,3265.030558629985,0
10119910,Jelše pri Otočcu,Novo mesto,0.5224741457851879,Novo mesto,0.7041601409662418,6023.403954616878,1
10119928,Jordankal,Novo mesto,0.17604685238709622,Trebnje,0.2213729954931692,4438.572817008542,0
10119936,Jugorje,Novo mesto,0.20557334451367118,Novo mesto,0.4452593398249556,10892.224563366692,1
