Village_ID,Village_Name,euclidean_dominant_muni,euclidean_dominant_Pij,euclidean_dominant_dist_m,network_dominant_muni,network_dominant_Pij,network_dominant_dist_m,agreement,SIFRA,home_region
10103924,Celine,Krško,0.2501011790234308,9127.457532084167,Krško,0.199218045752802,11220.632241934907,1,54,Krško
10105374,Sremič,Krško,0.8820013666001831,2013.1815616083911,Krško,0.625993449371672,5925.105591699792,1,54,Krško
10103983,Čretež pri Krškem,Krško,0.8981564579668416,1850.6755523321747,Krško,0.6712678173471377,5355.545641791325,1,54,Krško
10135001,Bezovje pri Šentjurju,Šentjur,0.7768247760550625,1636.887289950044,Šentjur,0.7447478392900175,2198.3378796702973,1,120,Šentjur
10138710,Gabrovec pri Kostrivnici,Rogaška Slatina,0.37279803372922926,5398.803663775892,Rogaška Slatina,0.4321867561760655,6210.748182835012,1,106,Rogaška Slatina
10124549,Juršinci,Juršinci,1.0,0.0,Juršinci,0.9999998223247094,0.0,1,42,Juršinci
10139538,Prnek,Rogaška Slatina,0.9573920152087891,962.6006440887104,Rogaška Slatina,0.8780242294518159,2171.8536301599406,1,106,Rogaška Slatina
10114438,Hrast pri Jugorju,Novo mesto,0.24935096523026853,13523.627471947015,Novo mesto,0.2329045444105945,8418.114100440926,1,73,Metlika
10085276,Mali Cirnik,Brežice,0.6257504034455973,5319.876032390229,Brežice,0.2916729104709767,17137.59245876299,1,9,Brežice
10097576,Zabiče,Ilirska Bistrica,0.32832756325985574,9253.645822053057,Ilirska Bistrica,0.4092723942427878,10864.392795932536,1,38,Ilirska Bistrica
10143942,Veliki Gaber,Ljubljana,0.15880574290064742,33770.22506587719,Ljubljana,0.1869325734975628,9465.748022650472,1,130,Trebnje
10142849,Krtina,Trebnje,0.2819104778482998,5305.892950295925,Trebnje,0.2963829111051919,6600.8701874593935,1,130,Trebnje
10100941,Stara Cerkev,Kočevje,0.7063633520051786,3314.0006035002466,Kočevje,0.6891385023525656,4307.641460138679,1,48,Kočevje
10143225,Pekel,Trebnje,0.9496672836130082,785.4934754662193,Trebnje,0.9601743655268214,893.1944192251067,1,130,Trebnje
10119359,Gorenje Grčevje,Novo mesto,0.5190601596026859,6681.077757368193,Novo mesto,0.3993867083212879,10349.859924560576,1,85,Novo mesto
10105579,Veliki Trn,Krško,0.3549428956989013,7000.028571370262,Krško,0.2799616600281487,11234.25475414901,1,54,Krško
10104009,Dalce,Krško,0.3724150942202045,6709.292063996022,Krško,0.2929432442774131,10877.007549758991,1,54,Krško
10136113,Uniše,Šentjur,0.3249642716904141,4295.776996074168,Šentjur,0.2261720266612959,6978.865482995301,1,120,Šentjur
10114764,Trnovec,Metlika,0.5891796509097607,2784.5003142395226,Metlika,0.5481956492709841,4104.439390293842,1,73,Metlika
10114250,Brezovica pri Metliki,Metlika,0.3378570439356804,4588.027898781785,Metlika,0.3551022263444928,6273.074295178205,1,73,Metlika
10085551,Ribnica,Brežice,0.5118746630111225,7371.73656610164,Brežice,0.5427340620925919,8735.77690536425,1,9,Brežice
10097231,Nova vas pri Jelšanah,Ilirska Bistrica,0.4098997661660501,7808.565809417245,Ilirska Bistrica,0.2866113679488632,15049.453441551752,1,38,Ilirska Bistrica
