Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,huff_dominant_muni,huff_dominant_Pij,agreement,agreement_label
10139597,Rjavica,Rogaška Slatina,0.7125973397155236,Rogaška Slatina,0.7741001947986587,1,Huff and ML agree
10139619,Rogaška Slatina,Rogaška Slatina,0.9954840744385884,Rogaška Slatina,1.0,1,Huff and ML agree
10139627,Rogatec,Rogatec,0.9943916262583091,Rogatec,1.0,1,Huff and ML agree
10139635,Roginska Gorca,Rogaška Slatina,0.25832107803372145,Rogaška Slatina,0.182887334650328,1,Huff and ML agree
10139643,Rudnica,Podčetrtek,0.06313839410149126,Podčetrtek,0.0930266856933123,1,Huff and ML agree
10139651,Sedlarjevo,Podčetrtek,0.08080779429222193,Podčetrtek,0.1279850719967969,1,Huff and ML agree
10139660,Sela,Podčetrtek,0.15204457826978754,Podčetrtek,0.2168204526357469,1,Huff and ML agree
10139678,Senovica,Šmarje pri Jelšah,0.5796349596996673,Šmarje pri Jelšah,0.7035810743788385,1,Huff and ML agree
10139686,Sladka Gora,Rogaška Slatina,0.25886571613891735,Šmarje pri Jelšah,0.1849635730417702,0,Huff and ML disagree
10139708,Sodna vas,Podčetrtek,0.3592721714120017,Podčetrtek,0.3987121794253979,1,Huff and ML agree
10139716,Olimje,Podčetrtek,0.21109196088709997,Podčetrtek,0.3141815753731697,1,Huff and ML agree
10139724,Sotensko pri Šmarju,Šmarje pri Jelšah,0.5056137535000349,Šmarje pri Jelšah,0.6381614944888945,1,Huff and ML agree
10139732,Spodnja Kostrivnica,Rogaška Slatina,0.41145054662475955,Rogaška Slatina,0.3777807001993136,1,Huff and ML agree
10139759,Spodnja Ponkvica,Šmarje pri Jelšah,0.2117984588553482,Šmarje pri Jelšah,0.2661338932719419,1,Huff and ML agree
10139767,Spodnje Mestinje,Rogaška Slatina,0.2932352957451827,Rogaška Slatina,0.2169771807349745,1,Huff and ML agree
10139775,Spodnje Negonje,Rogaška Slatina,0.7269644927797978,Rogaška Slatina,0.8043494607583432,1,Huff and ML agree
10139783,Spodnje Sečovo,Rogaška Slatina,0.7169510149783197,Rogaška Slatina,0.7945769669293153,1,Huff and ML agree
10139791,Spodnje Selce,Šentjur,0.3223112653001731,Šentjur,0.2371467081049987,1,Huff and ML agree
10139805,Spodnje Tinsko,Rogaška Slatina,0.16506506329123366,Rogaška Slatina,0.1432232187862878,1,Huff and ML agree
10139813,Spodnji Gabernik,Rogaška Slatina,0.3406804688937736,Rogaška Slatina,0.2749949625757576,1,Huff and ML agree
10139821,Srebrnik,Bistrica ob Sotli,0.05490912226252099,Rogaška Slatina,0.084226189856354,0,Huff and ML disagree
10139830,Sv. Florijan,Rogaška Slatina,0.4738830596116062,Rogaška Slatina,0.5001326899849926,1,Huff and ML agree
10139848,Stranje,Rogaška Slatina,0.33498532429114375,Šmarje pri Jelšah,0.3483395949079209,0,Huff and ML disagree
10139856,Strmec pri Sv. Florijanu,Rogaška Slatina,0.40785871649238636,Rogaška Slatina,0.4070691009126861,1,Huff and ML agree
10139864,Strtenica,Šmarje pri Jelšah,0.2011347442599152,Šmarje pri Jelšah,0.2839908486697689,1,Huff and ML agree
10139872,Sv. Ema,Rogaška Slatina,0.3750461542013983,Rogaška Slatina,0.3459160235009531,1,Huff and ML agree
10139899,Sv. Jurij,Rogaška Slatina,0.26835079470004053,Rogaška Slatina,0.2490691143948998,1,Huff and ML agree
