Village_ID,Village_Name,dominant_municipality,dominant_Pij,dominant_dist_m
10106931,Andrenci,Cerkvenjak,0.671733137828974,1152.716882542331
10107083,Grabonoški Vrh,Cerkvenjak,0.16610672738958532,3759.3063370337914
10132720,Brezje pri Slov. Bistrici,Slovenska Bistrica,0.24783182943551219,8319.215931567407
10122058,Bratonečice,Ptuj,0.2219590075207785,3981.8434425341675
10142695,Hrastno,Ljubljana,0.10285347420814435,3978.2190764504226
10143578,Selo pri Mirni,Ljubljana,0.13001933068658955,4749.085338947697
10128889,Travnik,Loški Potok,0.6814372697651294,1359.6563475629043
10103053,Podreča,Ljubljana,0.3645374905199362,4220.309792937035
10146887,Pongrac,Celje,0.259959382072,6774.383861069589
10086426,Medlog,Celje,0.7499246231351389,3810.918859281677
10118344,Volčja Draga,Renče-Vogrsko,0.8019104146204005,895.8261398797595
10118131,Stara Gora,Nova Gorica,0.6296253948268057,5637.978670491244
10118557,Brezova Reber pri Dvoru,Novo mesto,0.3128310645298541,7290.322887713452
10124425,Hajdoše,Ptuj,0.6390009104997356,3183.4609109906296
10138264,Žirovski Vrh,Ljubljana,0.2106647315221129,4059.026753391347
10134382,Kraberk,Slovenske Konjice,0.24859845352770482,7007.602700788062
10134838,Škedenj,Slovenske Konjice,0.2555441388170998,7033.49574647582
10131553,Pliskovica,Sežana,0.3007268896541551,6164.499655812581
10147778,Nebova,Maribor,0.7511735633904407,7302.18619659938
10093384,Selišči,Murska Sobota,0.18500384908328962,4508.514661759338
10115574,Bogojina,Murska Sobota,0.32033694917078853,5908.745792089885
10108152,Renkovci,Turnišče,0.3038843014988287,3625.5116505400106
10121957,Žaloviče,Novo mesto,0.38423534354199007,4810.46657423784
10121060,Sela pri Zburah,Novo mesto,0.2653480029857461,3303.844434698174
10099471,Bukova Gora,Ljubljana,0.13149264831198715,19762.376935492703
10089522,Miklarji,Črnomelj,0.2930617001859035,11927.989162652517
10129052,Arto,Krško,0.3450902705790752,8938.915287996126
10140072,Vidovica,Rogaška Slatina,0.45466090780133434,6928.066438564826
10110530,Bukovica pri Vodicah,Ljubljana,0.3216237232044176,1792.8436981373293
