Muni_ID,Muni_Name,GI_Final_NotWeighted,GI_AHP,rank_NW,rank_AHP,rank_change,n_Culture_Sum,n_Education_Sum,n_Finance_Sum,n_Healthcare_Sum,n_JudiciaryAndEmergency_Sum,n_Residential_Sum,n_SportsAndRecreation_Sum,n_TradeAndBusiness_Sum,n_Tourism_Sum,n_TrafficAndCommunication_Sum,n_Finance_Weighted,n_Culture_Weighted,n_Education_Weighted,n_Healthcare_Weighted,n_Judiciary_Weighted,n_Residential_Weighted,n_SportsAndRecreation_Weighted,n_Tourism_Weighted,n_TradeAndBusiness_Weighted,n_TrafficAndCommunication_Weighted
11027580.0,Trebnje,0.054134931375965055,0.04792056476993158,49,44,5,0.036374812100827277,0.04118209404416,0.011462450592885375,0.04942233978546247,0.19580419580419578,0.05823150348764827,0.011196133756788726,0.0334793968636904,0.005781098396240528,0.0984152889277518,0.006532727272727,0.008403759127534726,0.02430914694332774,0.047747335327123254,0.17862944302194325,0.022513506935552104,0.009291299942809951,0.00447217501170955,0.017962819088453832,0.09646226018838425
11027598.0,Tržič,0.04757062033468497,0.029546864605682798,57,68,11,0.045829594496129084,0.027057449420870246,0.011462450592885375,0.019428966823263775,0.11188811188811189,0.04161369988848118,0.057668268398661626,0.0860435191378371,0.044001908642106534,0.03071223405850287,0.006532727272727,0.014108855228529392,0.006162390087341778,0.0183311754054104,0.09250846617659206,0.014294517789378158,0.055888349901690365,0.034126283916948684,0.07982103795522417,0.01913644882749568
11027601.0,Turnišče,0.01314185972201777,0.020723357715901652,142,83,59,0.008354700312254068,0.04544321174476262,0.0009881422924901185,0.008267349790405215,0.0,0.024446449793602443,0.00937204685915336,0.007361542043728784,0.0011544634047734946,0.026030690979007606,0.000227272727273,0.0021196269801660368,0.07807304821630669,0.007248491617194406,0.0,0.008091314631699537,0.007272664347864613,0.0008178842972589632,0.003886675014960634,0.02493026299562393
11027628.0,Velike Lašče,0.016429738805678915,0.01113755623410341,124,120,4,0.042089986714393304,0.01960428785064984,0.0029644268774703555,0.0022123893805309734,0.027972027972027972,0.020881511937539194,0.00473352114229516,0.020736668945244216,0.0024445215947047736,0.020658045641933392,0.000681818181818,0.028259762128689796,0.0187045350115216,0.00104019139521672,0.023127116544148014,0.010659898518454768,0.0029825070875016233,0.0015821902902008857,0.01401364993757177,0.014753774356278011
11027644.0,Vodice,0.015161959179906958,0.00997908988439279,127,125,2,0.015254753623924247,0.021927977070557686,0.001976284584980237,0.0022123893805309734,0.0,0.055203010612578415,0.01299689219782686,0.014086154464541157,0.0038185801399768034,0.024143549724153186,0.000454545454545,0.0034218481972221266,0.019616299765839722,0.00104019139521672,0.0,0.06520613924842796,0.007868727655723254,0.0029308429389783997,0.01023322653202604,0.021088886375490147
11027652.0,Vrhnika,0.09903339336460323,0.09697421919241735,21,18,3,0.14202742738715493,0.07229599427062883,0.020553359683794466,0.10927492112980033,0.19580419580419578,0.09144671528136719,0.06743438323705911,0.15287319329785645,0.04729184706546999,0.09133189648870536,0.016416363636364,0.12241633979737017,0.07580899521460402,0.11071554346535871,0.17862944302194325,0.09607163132466004,0.06763844217050358,0.04296929304282766,0.11651646779398016,0.08885302595787117
11027679.0,Zagorje ob Savi,0.05227480940122138,0.04314745586138592,50,50,0,0.05897793912314997,0.04511514932228096,0.01798418972332016,0.05465536582325812,0.11421911421911421,0.06786366202648071,0.03309864999140717,0.04657365804183944,0.015341608794368246,0.0689187569469948,0.011929090909091,0.017664588272126934,0.02701952716755211,0.051584702852930576,0.10101594119104651,0.0640677786690826,0.029968307943320324,0.014813657982714182,0.039008101967008206,0.05292806967463611
11027687.0,Zreče,0.041733141023788625,0.04446287654942608,59,49,10,0.0600980700394272,0.10905906629480945,0.00849802371541502,0.0022123893805309734,0.027972027972027972,0.02823086206328569,0.07803317472639183,0.022966610708218073,0.0641624709563073,0.01609871438147278,0.005850909090909,0.020568256829970842,0.17749904168572891,0.00104019139521672,0.023127116544148014,0.009686796882968883,0.07655936193319345,0.05013004938606712,0.016160296799326537,0.015217781760385641
11027709.0,Hrpelje-Kozina,0.031243827819156765,0.03366709831513842,75,61,14,0.024866639275710114,0.016805526057127585,0.012055335968379446,0.04056047197640117,0.0,0.018712761989714232,0.03201383412498328,0.04731327309051307,0.03375217812360632,0.08635825758513244,0.010565454545455,0.007979625706671689,0.018296005712901284,0.04237046283182772,0.0,0.007380844079488507,0.021325250003127627,0.03157645693383452,0.03792792815513056,0.08945850705483573
11027725.0,Jesenice,0.08202404985624136,0.07253521368012587,27,28,1,0.06021333046601418,0.03485806561971389,0.019367588932806323,0.07220765504934629,0.19114219114219114,0.0841139285628199,0.046883696217377924,0.12632096520114638,0.04235322881936669,0.14277984855163084,0.008350909090909,0.051536276091796715,0.013348923377254423,0.07433772752458057,0.17846424933234217,0.03174722421659615,0.04637496433612637,0.03772749384501055,0.09853167000223306,0.1376492777300677
